t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0003,T_wall:y=0.0010,T_wall:y=0.0016,T_wall:y=0.0022,T_wall:y=0.0029,T_wall:y=0.0035,T_wall:y=0.0041,T_wall:y=0.0048,T_wall:y=0.0054,T_wall:y=0.0060,T_wall:y=0.0067,T_wall:y=0.0073,T_wall:y=0.0079,T_wall:y=0.0086,T_wall:y=0.0092
0.905,0.563108724964525,87.14802282345643,287.58354561744846,22259.097026934476,2603453.5670896894,1,5802.205866223241,441.8539413588208,-13.807368236472952,5788.398497986768,287.58354561744846,303.8623062724454,305.82160151495475,305.82160151495475,290.73080438206983,290.04780678824363,290.0020816124535,290.0000175113641,289.99999294923043,289.99999915541434,289.9999999350067,289.99999999209,289.9999999350067,289.99999915541434,289.99999294923043,290.0000175113641,290.0020816124535,290.04780678824363,290.73080438206983
0.91,0.5666208284766285,88.20613403356764,287.5766680843038,22534.789743227022,2619442.039559578,1,5908.669200150414,443.96467940089605,-13.922045726749497,5894.747154423665,287.5766680843038,304.0587366521436,306.0424929701565,306.0424929701565,290.74986440554096,290.049548318555,290.00220092890726,290.0000230849913,289.99999303331373,289.99999914058463,289.99999993303226,289.999999991778,289.99999993303226,289.99999914058463,289.99999303331373,290.0000230849913,290.00220092890726,290.049548318555,290.74986440554096
0.915,0.570132931988732,89.26424524367886,287.5697905534487,22812.144062474945,2635427.4405155755,1,6016.237546849677,446.07141190530945,-14.038241735632514,6002.199305114044,287.5697905534487,304.2564239166039,306.26479236704387,306.26479236704387,290.7692615782858,290.0513327434676,290.0023243676923,290.0000289544518,289.99999313212845,289.99999912606035,289.9999999310272,289.99999999145695,289.9999999310272,289.99999912606035,289.99999313212845,290.0000289544518,290.0023243676923,290.0513327434676,290.7692615782858
0.92,0.5736450355008356,90.32235645379006,287.56291302488313,23091.15934253042,2651409.770294001,1,6124.913322922986,448.1741545015218,-14.1559713800675,6110.7573515429185,287.56291302488313,304.4553679767849,306.4884996038222,306.4884996038222,290.788999085577,290.0531607611604,290.00245202430807,290.00003512943437,289.9999932464034,289.99999911188,289.99999992899257,289.9999999911267,289.99999992899257,289.99999911188,289.9999932464034,290.00003512943437,290.00245202430807,290.0531607611604,290.788999085577
0.925,0.5771571390129391,91.38046766390127,287.5560354986071,23371.834941377827,2667389.0292311455,1,6234.698901779349,450.2729225291724,-14.2752498131276,6220.423651966222,287.5560354986071,304.6555687436448,306.7136145786968,306.7136145786968,290.80908011457245,290.0550330749625,290.0025839956663,290.0000416198378,289.99999337688996,289.9999990980839,289.9999999269294,289.9999999907871,289.9999999269294,289.9999990980839,289.99999337688996,290.0000416198378,290.0025839956663,290.0550330749625,290.80908011457245
0.93,0.5806692425250426,92.43857887401248,287.5491579746207,23654.170217133786,2683365.2176632863,1,6345.596613771909,452.36773104371207,-14.396092223881261,6331.200521548028,287.5491579746207,304.85702612814214,306.9401371898733,306.9401371898733,290.82950785416796,290.05695039333335,290.0027203800984,290.0000484357738,289.99999352436254,289.99999908471415,289.99999992483885,289.9999999904381,289.99999992483885,289.99999908471415,289.99999352436254,290.0000484357738,290.0027203800984,290.05695039333335,290.82950785416796
0.935,0.5841813460371461,93.4966900841237,287.5422804529238,23938.164528047033,2699338.335926671,1,6457.608746335556,454.4585948218996,-14.518513837268818,6443.090232498287,287.5422804529238,305.0597400412353,307.16806733555717,307.16806733555717,290.85028549485077,290.05891342984347,290.00286127736194,290.00005558756953,289.99999368961903,289.9999990718148,289.9999999227222,289.9999999900796,289.9999999227222,289.9999990718148,289.99999368961903,290.00005558756953,290.00286127736194,290.05891342984347,290.85028549485077
0.9400000000000001,0.5876934495492496,94.5548012942349,287.5354029335165,24223.817232498488,2715308.384357529,1,6570.737544125697,456.54552836716664,-14.642529913986195,6556.095014211711,287.5354029335165,305.26371039388255,307.39740491395395,307.39740491395395,290.8714162285538,290.0609229031551,290.00300678864744,290.0000630857705,289.9999938734814,289.99999905943173,289.99999992058093,289.9999999897114,289.99999992058093,289.99999905943173,289.9999938734814,290.0000630857705,290.00300678864744,290.0609229031551,290.8714162285538
0.9450000000000001,0.5912055530613531,95.61291250434611,287.5285254163987,24511.12768900119,2731275.3632920613,1,6684.985209157691,458.6285459148557,-14.768155750378748,6670.217053407313,287.5285254163987,305.4689370970424,307.6281498232694,307.6281498232694,290.89290324851095,290.0629795370017,290.0031570165852,290.0000709411434,289.999994076796,289.99999904761296,289.9999999184165,289.99999998933356,289.9999999184165,289.99999904761296,289.999994076796,290.0000709411434,290.0031570165852,290.0629795370017,290.89290324851095
0.9500000000000001,0.5947176565734567,96.67102371445732,287.5216479015704,24800.095256200337,2747239.2730664536,1,6800.353900947063,460.7076614373305,-14.89540667834241,6785.458494268721,287.5216479015704,305.6754200616731,307.8603019617091,307.8603019617091,290.91474974911284,290.0650840601682,290.0033120652518,290.0000791646789,289.99999430043414,289.9999990364085,289.9999999162306,289.99999998894594,289.9999999162306,289.9999990364085,289.99999430043414,290.0000791646789,290.0033120652518,290.0650840601682,290.91474974911284
