t_vec,mach,alt,q_conv,q_net,T_recovery,T_wall:x=0.0000,T_wall:x=0.0010,T_wall:x=0.0020,T_wall:x=0.0030,T_wall:x=0.0040,T_wall:x=0.0050,T_wall:x=0.0060,T_wall:x=0.0070,T_wall:x=0.0080,T_wall:x=0.0090,T_wall:x=0.0100
8.42,2.360281975,22753.358073,26385.939295912973,26372.466008560245,441.4653016451545,292.9976980347472,292.81428962929516,292.6068614728234,292.37711027238703,292.12694461676733,291.85846738330315,291.57395611865036,291.2758415470959,290.9666845230364,290.64915165551014,290.3259898476749
8.425,2.3594085315468454,22765.306998300173,26315.058135289855,26301.625000369444,441.3258070020257,292.98890021376934,292.80599908196484,292.5991565531349,292.3700641124672,292.1206242763655,291.85293315048136,291.5692608634987,291.2720301847275,290.9637935552393,290.6472087962352,290.32501373438697
8.43,2.358535118888111,22777.25580341966,26244.35216463288,26230.9590476795,441.1863782854447,292.9801310669213,292.7977355789406,292.5914768753966,292.36304109858355,292.11432474471525,291.8474171660579,291.56458111104195,291.26823142114915,290.9609121530626,290.6452723697823,290.3240408542738
8.435,2.357662601,22789.191074000002,26173.897514991193,26160.54428249095,441.04715331609066,292.97139039346496,292.78949906067203,292.5838223382853,292.3560411474257,292.1080459448232,291.8419193660581,291.559916806676,291.2644452117445,290.958040282119,290.6433423530782,290.32307119576313
8.44,2.356790101,22801.126073999996,26103.617739109104,26090.30425755884,440.9079976286705,292.96267819874373,292.7812894044589,292.57619286111316,292.3490641716464,292.10178780200914,291.83643968524825,291.55526789600975,291.2606715119803,290.9551779083955,290.64141872311416,290.3221047473074
8.445,2.3559190716,22813.05127,26033.602776404205,26020.3289132338,440.7691658224601,292.95399428590474,292.77310654629673,292.56858834639297,292.342110090569,292.09555024048126,291.8309780588764,291.55063432431234,291.2569102775521,290.9523249980464,290.6395014570391,290.3211414973888
8.45,2.3550480716,22824.976269999996,25963.76249347166,25950.528115986468,440.63041014206334,292.94533868983723,292.76495036477104,292.56100871399656,292.33517881940077,292.0893331865722,291.825534421839,291.5460160369926,291.2531614641665,290.94948151741073,290.6375905321189,290.3201814345533
8.455,2.354178052,22836.891465999997,25894.117101313044,25880.922077789633,440.491586674489,292.93671120519343,292.75682080666655,292.55345386793556,292.32827027879875,292.08313656573046,291.82010870970504,291.54141297938554,291.24942502764566,290.94664743292924,290.63568592574137,290.31922454740686
8.46,2.353308052,22848.806466000002,25824.57461048777,25811.418809743438,440.35238926711975,292.928111720909,292.74871775149524,292.54592373273016,292.32138438532866,292.07696030524386,291.81470085792114,291.5368250970748,291.24570092385704,290.9438227111561,290.63378761538775,290.3182708246161
8.465,2.3524395226,22860.711661999998,25755.7831192386,25742.666411512982,440.2166315132852,292.91953993254435,292.7406410975566,292.53841821462026,292.31452106200254,292.0708043315155,291.80931080261684,291.532252335695,291.2419891088073,290.94100731872834,290.6318955786286,290.3173202548988
8.47,2.3515710226,22872.616662,25686.654634938135,25673.576885465332,440.07770669959376,292.91099694512815,292.7325906759143,292.53093722289407,292.30768022721384,292.0646685731352,291.8039384798451,291.52769464117966,291.238289538592,290.93820122238765,290.6300097931081,290.3163728270193
