t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0000,T_wall:y=0.0011,T_wall:y=0.0022,T_wall:y=0.0033,T_wall:y=0.0044,T_wall:y=0.0056,T_wall:y=0.0067,T_wall:y=0.0078,T_wall:y=0.0089,T_wall:y=0.0100
4.305,1.8311543660563396,1620.6445647769997,277.6184953146525,195558.09216301626,7358748.684373901,1,146708.92065415278,1124.4585249130755,-186.71478442128753,146522.2058697315,312.8946286546969,447.1410279456592,463.7964716003015,463.79662970837495,316.6703014548854,308.24951505826175,301.8378460249318,297.32486721608456,294.3459916372021,292.4845618419575,291.3773970099481,290.75160569880217,290.42376654309805,290.284859851965
4.3100000000000005,1.8303320742792573,1623.6572845298026,277.598922626844,195310.11009394715,7353384.966072641,1,146365.29732040703,1123.6058560839517,-186.93981160423752,146178.3575088028,312.86458405818183,446.9600790180855,463.59661344049954,463.59637849501473,316.69616438299556,308.2826730289462,301.86918153372415,297.3501856722661,294.3644336830538,292.49701004234447,291.385341478193,290.75652302668755,290.42688463726023,290.2871523332688
4.315,1.829509782502175,1626.670004282605,277.57934995758325,195062.3587162167,7348023.538575951,1,146023.5920767359,1122.7526974589284,-187.16332317834465,145836.42875355756,312.8337960611426,446.78031465069773,463.3968539591603,463.39753795081475,316.7217608772586,308.3156805266163,301.9004478160399,297.37548994582266,294.3828902945354,292.5094828351892,291.3933103157396,290.7614606196371,290.43001879981773,290.2894584402808
4.32,1.8286874907250927,1629.6827240354075,277.55977730687033,194814.83787843699,7342664.401224192,1,145681.4991755092,1121.9014252910627,-187.38534152295588,145494.11383398625,312.80386983599544,446.5994117042744,463.19719314036917,463.1973285549181,316.74709501101944,308.34853697835604,301.93164443943647,297.40077960277836,294.40136116267314,292.5219800513285,291.40130345853544,290.7664184761253,290.43316905971784,290.2917782133145
4.325,1.8278651989480106,1632.69544378821,277.5402046747051,194567.54742929197,7337307.553357861,1,145340.52572080147,1121.0504741556622,-187.6058736472933,145152.91984715417,312.7737511504164,446.4188960296623,462.9976309682112,462.99757590371865,316.7721681869511,308.3812418902484,301.9627709691277,297.42605421124546,294.41984597873767,292.5345015210266,291.4093208418253,290.7713965940977,290.43633544559253,290.29411169249585
4.33,1.8270429071709284,1635.7081635410125,277.52063206108755,194320.48721753692,7331952.994317565,1,145001.44916238255,1120.1990253602307,-187.82493617992856,144813.6242262026,312.7428874744188,446.2395609779503,462.798167426772,462.799229681556,316.7969834719099,308.4137948006532,301.9938269693992,297.4513133413211,294.43834443426096,292.54704707398616,291.41736240015626,290.7763949709715,290.439517985757,290.296458917761
4.335,1.8262206153938463,1638.7208832938147,277.5010594660177,194073.65709199905,7326600.723444038,1,144661.167878654,1119.3502944931897,-188.04255048756818,144473.12532816644,312.71345804040664,446.05827125944353,462.59880250013686,462.5985372477665,316.82154474913114,308.4461953065914,302.0248120042049,297.4765565650106,294.4568562210512,292.5596165393601,291.4254280673826,290.7814136036362,290.4427167082083,290.29881992885447
4.34,1.825398323616764,1641.7336030466172,277.48148688949544,193827.05690157707,7321250.740078142,1,144323.30724810512,1118.500506068618,-188.25871742018103,144135.04853068493,312.6829070005605,445.87870164764536,462.399536172391,462.39989713083384,316.845852341763,308.47844307527697,302.055725638177,297.5017834561636,294.47538103120615,292.5722097457624,291.43351777667095,290.78645248845436,290.44593164062394,290.3011947653267
4.345,1.8245760318396818,1644.7463227994197,277.46191433152086,193580.68649524145,7315903.043560857,1,143985.76547208658,1117.651836888094,-188.4734613229467,143797.29201076363,312.6527120373916,445.6987289898609,462.20036842761994,462.20076790506914,316.86991064067826,308.5105377830562,302.0865674377932,297.52699359042913,294.4939185571249,292.58482652127964,291.44163146050545,290.7915116212624,290.44916281036063,290.3035834665324
4.3500000000000005,1.8237537400625994,1647.7590425522226,277.4423417920938,193334.54572203394,7310557.63323329,1,143648.2453626622,1116.8045936918716,-188.68679247106607,143459.55857019112,312.6230844895372,445.5180540640472,462.0012992499091,462.0007910584741,316.89372159439137,308.5424791822695,302.1173369714954,297.5521865452317,294.5124684915192,292.597466693482,291.4497690506928,290.79659099737137,290.45241024445284,290.3059860716281
4.355,1.8229314482855172,1650.771762305025,277.4227692712144,193088.63443106823,7305214.508436671,1,143312.62015191052,1115.9568124224795,-188.89871901925545,143123.72143289127,312.5926906858656,445.3385827992714,461.8023286233442,461.80224878728353,316.91728678082376,308.5742670584675,302.148033810909,297.57736189975014,294.5310305274238,292.61013008943416,291.4579304783675,290.8016906115679,290.45567396961155,290.30840261957036
4.36,1.822109156508435,1653.7844820578275,277.4031967688825,192842.9524715292,7299873.668512349,1,142978.0553874157,1115.1093535941463,-189.10926114331397,142788.94612627238,312.56211706312,445.1594746034222,461.6034565320104,461.60413474293733,316.9406098556929,308.60590122325095,302.1786575313146,297.6025192349179,294.54960435820635,292.6228165357065,291.4661156739969,290.8068104581149,290.458954012223,290.3108331491136
4.365,1.8212868647313527,1656.79720181063,277.38362428509805,192597.49969267353,7294535.112801809,1,142642.82168369865,1114.264024734337,-189.3184332560772,142453.5032504426,312.5325981702457,444.97897397812255,461.4046829599933,461.4043461774974,316.9636934724923,308.6373815477628,302.20920771198627,297.62765813343054,294.5681896775773,292.6355258583856,291.47432456738676,290.81195053075265,290.46225039834735,290.3132776988081
4.37,1.8204645729542706,1659.8099215634322,277.3640518198612,192352.27594382936,7289198.840646643,1,142309.61810050588,1113.4179900245197,-189.52623828325702,142120.09186222262,312.502201463194,444.7998297754004,461.2060078913787,461.2061756172222,316.9865382932213,308.66870794424835,302.2396839370714,297.65277817975937,294.58678617959964,292.6482578830853,291.48255708768596,290.8171108226996,290.46556315371754,290.31573630699813
4.375,1.8196422811771884,1662.8226413162347,277.34447937317174,192107.28107439593,7283864.851388575,1,141976.25884050617,1112.5735362634598,-189.73269664414414,141786.52614386202,312.47249026694027,444.61982200696684,461.0074313102522,461.006963710678,317.00914800394446,308.69988033191174,302.2700857961376,297.677878960179,294.60539355869867,292.66101243495683,291.49081316339226,290.8222913266534,290.46889230373796,290.3182090118197
4.38,1.818819989400106,1665.8353610690372,277.32490694502974,191862.51493384436,7278533.14436945,1,141644.08841841706,1111.7292450343489,-189.9378142077657,141454.15060420928,312.4424969948393,444.4403232151386,460.80895320069914,460.808354755284,317.03152376951397,308.73089868668427,302.30041288413844,297.70296006280324,294.6240115096724,292.6737893386997,291.49909272235726,290.82749203479204,290.4722378734834,290.3206958511987
4.385,1.8179976976230239,1668.8480808218396,277.3053345354351,191617.9773717171,7273203.718931249,1,141312.94088898716,1110.8852821005758,-190.14160549152956,141122.79928349564,312.4123362841595,444.26116947754326,460.61057354680537,460.61015247308046,317.05366824773296,308.7617629978313,302.3306648022021,297.72802107761964,294.642639727702,292.68658841857194,291.5073956917918,290.83271293877476,290.4755998876978,290.323196862849
4.39,1.8171754058459417,1671.860800574642,277.2857621443879,191373.66823762783,7267876.574416059,1,140983.055437985,1110.0413861898921,-190.3440836996284,140792.71135428536,312.38183015548833,444.0826100828483,460.4122923326565,460.4126557565305,317.0755838656588,308.79247329225325,302.36084115767864,297.75306159653553,294.66127790836265,292.6994094984004,291.5157219982713,290.8379540297432,290.4789783707932,290.3257120842703
4.3950000000000005,1.8163531140688594,1674.873520327445,277.266189771888,191129.5873812614,7262551.7101660855,1,140652.8117346363,1109.1992637101034,-190.54526338385512,140462.26647125246,312.35215152660965,443.90299370931166,460.2141095423382,460.21388535707786,317.09727327980653,308.8230296295381,302.3909415645874,297.77808121342406,294.6799257476354,292.71225240159106,291.524071567741,290.8432152983224,290.48237334684836,290.32824155274653
4.4,1.8155308222917772,1677.8862400802475,277.24661741793545,190885.73465237478,7257229.1255236855,1,140323.71904453353,1108.3573152479896,-190.7451483203776,140132.97389621314,312.3222041878789,443.7238646293716,460.0160251599365,460.01569213854077,317.11873728094355,308.8534321047793,302.4209656439688,297.80307952417604,294.69858294191914,292.72511695113917,291.5324443255212,290.84849673462213,290.4857848396081,290.33078530534345
4.405,1.8148589717,1680.8726206458002,277.2272161967417,190674.33862894177,7252527.786978724,1,140037.36175226857,1107.6076113519766,-190.9430905167919,139846.41866175178,312.2938475748367,443.57226385696754,459.8485982175693,459.84827433682585,317.13997834627565,308.8836808167278,302.45091302427187,297.82805612675617,294.71724918804324,292.73800296963947,291.54084019631296,290.8537983282381,290.4892128724818,290.33334337890705
4.41,1.8141872717,1683.8589748458,277.20781516505775,190463.151913432,7247828.98832997,1,139751.37321585417,1106.8587529981926,-191.14003530114806,139560.233180553,312.2656885069537,443.4204919336693,459.68127086214395,459.680644381656,317.16104569691686,308.9137758956263,302.48078334120424,297.85301062126376,294.73592418328104,292.75091027929614,291.54925910420303,290.8591200682529,290.49265746854263,290.33591581006164
4.415,1.8135155717,1686.8453290458,277.1884141515978,190252.1421104713,7243132.109272876,1,139466.48563964985,1106.109822295087,-191.33598706763647,139275.14965258221,312.23715694264223,443.26931660338903,459.51401247879363,459.5137250919018,317.18194008026194,308.9437182737393,302.5105762380476,297.87794260998965,294.75460762536403,292.7638387019331,291.5577009726694,290.8644619432375,290.49611865052645,290.3385026352078
4.42,1.8128438717000002,1689.8316832458001,277.16901315636187,190041.30911113997,7238437.149268825,1,139182.60500136064,1105.3609128023331,-191.53095434438194,138991.07404701627,312.2083176098963,443.1186452527195,459.3468230569875,459.34740557700786,317.2026630704817,308.97350885900715,302.5402913786801,297.9028516974762,294.77329921249645,292.7767880590038,291.56616572458677,290.8698239412524,290.4995964408307,290.3411038905206
4.425,1.8121721717000001,1692.8180374458,277.1496121793499,189830.65280656848,7233744.107779326,1,138897.51011478523,1104.6143882199253,-191.7249449949215,138705.7851697903,312.18080408712115,442.96620082265605,459.17970258619476,459.1789548097561,317.223216124967,309.00314854983384,302.56992844653234,297.9277374907909,294.79199864337096,292.78975817160165,291.5746532822317,290.875206049849,290.5030908615136,290.3437196119478
4.43,1.8115004717,1695.8043916458,277.13021122056193,189620.17308793616,7229052.984265966,1,138614.33596790538,1103.8669077090365,-191.91795236343833,138422.41801554195,312.15230905074407,442.8152001677611,459.012651055885,459.01223092248813,317.24359819303993,309.03263823379706,302.59948714382637,297.9525995997736,294.8107056171881,292.80274886046965,291.5831635672882,290.88060825607096,290.5066019342931,290.34634983520783
4.4350000000000005,1.8108287717,1698.7907458458005,277.11081027999785,189409.8698464723,7224363.778190452,1,138331.68154038256,1103.1199577186617,-192.10999041630186,138139.57154996626,312.1238605817932,442.6642096022281,458.8456684555272,458.84551445061624,317.26381178288005,309.06197874692333,302.6289671908223,297.9774376372636,294.8294198336795,292.815759946011,291.591696500853,290.8860305464554,290.51012968054584,290.3489945957881
4.44,1.8101570717,1701.7771000458004,277.0914093576577,189199.74297345502,7219676.489014568,1,138048.97609069227,1102.3741462795674,-192.30106384060886,137856.67502685168,312.095880998046,442.5126438300354,458.67875477459097,458.67810314362544,317.2838577989066,309.0911709344215,302.65836832442176,298.00225121930725,294.8481409931343,292.82879124829907,291.60025200344114,290.89147290703454,290.5136741213065,290.35165392894316
4.445,1.8094853717,1704.7634542458004,277.07200845354146,188989.79236021233,7214991.116200202,1,137767.7720558118,1101.6278098788307,-192.49117360418515,137575.28088220762,312.0672180977584,442.3621008796068,458.5119100025456,458.51191425323265,317.303736502472,309.12021562418647,302.687690297823,298.0270399653356,294.86686879642815,292.8418425870881,291.60882999499114,290.8969353233369,290.51723527726676,290.3543278696929
4.45,1.8088136717,1707.7498084458002,277.0526075676491,188780.0178981215,7210307.659209359,1,137486.1133640169,1100.8830385035815,-192.68033086063969,137293.43303315627,312.03932260647525,442.21057102665145,458.3451341288606,458.34453640426636,317.3234499107695,309.1491136170265,302.7169328797532,298.0518034983315,294.8856029450546,292.85491378182365,291.61743039487067,290.9024177803889,290.52081316877434,290.35701645282063
4.455,1.8081419717,1710.7361626458003,277.03320669998055,188570.41947860894,7205626.117504126,1,137206.0600048855,1100.1376219631711,-192.86853389911784,137013.1914709864,312.01066069273867,442.0601761675605,458.1784271430052,458.1785157941482,317.34299782032394,309.1778657167916,302.74609585356734,298.076541444979,294.90434314115805,292.8680046516539,291.62605312188185,290.9079202627162,290.5244078158324,290.35971971287154
4.46,1.8074702717,1713.7225168458,277.0138058505358,188360.99699315036,7200946.490546684,1,136925.9587843376,1099.3933287190025,-193.05579455019074,136732.9029897874,311.9824620393436,441.90921669983845,458.01178903444884,458.01181283910194,317.36238236177513,309.20647269386507,302.7751790168768,298.10125343579307,294.9230890875686,292.88111501544057,291.63469809426687,290.9134427543454,290.5280192380984,290.3624376841508
