Time (sec),Mach Number,Altitude (ft)
277.144,0.002015909705241709,1952.9122615664623
277.154,0.00201016469065128,1952.9931453674903
277.164,0.00200459562016864,1953.0675815686614
277.174,0.001999306072083054,1953.1355345742577
277.184,0.001994399624683788,1953.1969687885628
277.194,0.001989979856260108,1953.2518486158588
277.204,0.00198615034510128,1953.3001384604281
277.214,0.001980412338739134,1953.3418027265545
277.224,0.001974880307411864,1953.37680581852
277.234,0.0019696303206269443,1953.3673183010005
277.244,0.0019657112119994056,1953.3468286681923
277.254,0.001961970296374547,1953.3151094547804
277.264,0.001958496770980593,1953.27193319545
277.275,0.0019553798330457684,1953.2170724248858
277.285,0.0019527086797982976,1953.1502996777722
277.295,0.0019505725084664046,1953.0347706519656
277.305,0.001949060516278315,1952.9131879667088
277.315,0.0019454084136363036,1952.8644847777255
277.325,0.0019419103648613736,1952.8212472677155
277.335,0.0019388196086537772,1952.7834276863268
277.345,0.001935949866726213,1952.750978283208
277.355,0.0019333627934510248,1952.723851308006
277.365,0.0019311200432005563,1952.7019990103686
277.375,0.0019271729526080129,1952.6853736399435
277.385,0.0019232138761168913,1952.6541706946596
277.395,0.0019189894494446896,1952.6315055123864
277.405,0.0019149087591942952,1952.6172148737373
277.415,0.001911007201725556,1952.613935987266
277.425,0.0019073201733983186,1952.6191427725112
277.435,0.0019038830705724308,1952.632685901098
277.446,0.00190073128960774,1952.6544160446524
277.456,0.0018979002268640934,1952.684183874799
277.466,0.0018954252787013383,1952.7401113448263
277.476,0.0018933418414793224,1952.7689477826443
277.486,0.001880994383774416,1952.7973805129377
277.496,0.0018711797176920915,1952.825209852414
277.506,0.001864363032539729,1952.852236117782
277.516,0.0018604275944346178,1952.8782596257495
277.526,0.0018592566694940467,1952.9030806930245
277.536,0.0018607335238353048,1952.926499636315
277.546,0.0018647414235756817,1952.9483167723295
277.556,0.001871163634832466,1952.9818501952668
277.566,0.0018727580011285512,1953.0110517930527
277.576,0.0018776778471814237,1953.0358008875237
277.586,0.0018857146354041713,1953.0559768005164
277.596,0.001896659828209882,1953.1132902462277
277.606,0.0019103048880116426,1953.1723253091895
277.616,0.0019264412772225408,1953.2331688082256
277.626,0.0019448604582556646,1953.2959075621584
277.636,0.0019653538935241015,1953.36062838981
277.646,0.0019877130454409387,1953.4334342637212
277.656,0.0020053373443640115,1953.5073585811142
277.666,0.00202548334131089,1953.5648456210608
277.676,0.0020478598682792787,1953.620932924541
277.686,0.002072175757266882,1953.6756547849889
277.696,0.0020981398402714043,1953.7290454958404
277.706,0.0021254609492905503,1953.7811393505294
277.716,0.0021538479163220247,1953.8319706424918
277.726,0.0021830095733635316,1953.881573665162
277.736,0.002212654752412776,1953.9224068147003
277.746,0.0022393291330424594,1953.9633864710013
277.757,0.0022666155144396988,1953.9698473541384
277.767,0.002294180766052321,1953.9710198857465
277.777,0.0023216917573281527,1953.9667221803923
277.787,0.0023488153577150223,1953.9567723526425
277.797,0.0023752184366607563,1953.9854783451797
277.807,0.0024009415538562232,1954.0004977844349
277.817,0.0024253628181069,1954.0019088073484
277.827,0.0024481530490746,1953.9897895508607
277.837,0.0024665531538700792,1953.9642181519118
277.848,0.002483303315377539,1953.9311361434422
277.858,0.002498041560916671,1953.8856744220175
277.868,0.00251040591780717,1953.827940208883
277.878,0.0025200344133687286,1953.758040725285
277.888,0.002526565074921041,1953.6786827650633
277.898,0.0025419260440872385,1953.5869257746983
277.908,0.0025569246880292615,1953.526036261686
277.918,0.0025713249778620407,1953.4597338121343
277.928,0.002584890884700506,1953.3883548489812
277.938,0.0025973863796595873,1953.3122357951634
277.948,0.0026085754338542144,1953.2317130736183
277.958,0.002618222018399318,1953.1471231072835
277.968,0.0026260901044098278,1953.0588023190962
277.978,0.002639138836662242,1952.9670871319945
277.988,0.0026499203297236577,1952.8723139689153
277.998,0.002660361286840925,1952.7978007160393
278.008,0.0026702794445299344,1952.724590830737
278.018,0.0026794925393065715,1952.6531344686034
278.028,0.0026878183076867253,1952.5838817852332
278.038,0.0026950744861862835,1952.5172829362216
278.048,0.002701078811321133,1952.4537880771634
278.058,0.002705649019607163,1952.4165750554791
278.068,0.0027151778024725706,1952.379447767382
278.078,0.0027244022494555494,1952.3214609114737
278.088,0.002733209599766621,1952.2613619706597
278.098,0.002740612452823389,1952.199627146182
278.108,0.002747602855995849,1952.136732639282
278.118,0.0027540562449885446,1952.073154651201
278.128,0.0027598480555060204,1952.0093693831814
278.138,0.002764853723252819,1951.9458530364645
278.148,0.0027689486839334847,1951.8830818122926
278.158,0.0027751481079560094,1951.8215319119067
278.168,0.002781186698037191,1951.7457521026379
278.178,0.002786971377464703,1951.6451471022
278.188,0.0027924090695262216,1951.5488502687847
278.198,0.0027974066975094223,1951.4571155474475
278.208,0.002801871184701981,1951.370196883245
278.218,0.002805709454391573,1951.2883482212324
278.228,0.002808828429865875,1951.16154034514
278.238,0.0028111350344125607,1951.0489798719232
